label,tweet
negatif,"['dukung', 'pidana', 'lgbt', 'hidayat', 'nurwahid', 'lgbt', 'tentang', 'pancasila']"
positif,"['rekomendasi', 'kemeja', 'retro', 'sista', 'tidak', 'seperti', 'firaun', 'tag', 'libur', 'siang', 'ozil']"
positif,"['kacau', 'portal', 'online', 'ajar', 'tulis', 'berita', 'cuit', 'nadir', 'bentur', 'nyata']"
negatif,"['porn', 'lgbt', 'cebol', 'berani', 'muncul', 'pukul', 'khusus', 'oposisi']"
positif,"['toko', 'jual', 'lgbt']"
negatif,"['kaum', 'lgbt', 'predator', 'normal', 'buru', 'manusia', 'sembah', 'iblis', 'masuk', 'neraka']"
negatif,"['lgbt', 'undang', 'bencana', 'alam', 'bencana', 'alam', 'peduli', 'lingkungan']"
negatif,"['gue', 'paksa', 'aku', 'hidup', 'damping']"
negatif,"['kamu', 'sumut', 'orang', 'tua', 'lgbt', 'kamu', 'cuma', 'koar', 'kerja', 'nyepil', 'gitu', 'bilang', 'buzzerp']"
positif,"['mulut', 'sampah', 'bisa', 'kritik', 'kerja', 'berangan', 'nonton', 'kaum', 'simpang', 'alias', 'lgbt']"
negatif,"['off', 'ukhti', 'ri', 'mati', 'cair', 'cuan', 'komunitas', 'lgbt', 'nanya']"
negatif,"['heran', 'lgbt', 'indonesia', 'banyak', 'munafik', 'juang', 'hak']"
negatif,"['fyi', 'lgbt', 'tindak', 'pidana']"
positif,"['saat', 'normal', 'kucil', 'jauh', 'keluarga', 'kaum', 'lgbt', 'ente', 'teriak']"
negatif,"['bendera', 'tauhid', 'antum', 'bakar', 'bendera', 'lgbt', 'antum', 'kibar', 'benar', 'antum', 'salah', 'batil', 'antum', 'bela']"
negatif,"['qatar', 'haram', 'lgbt', 'piala', 'dunia', 'tukar', 'agama', 'turnamen']"
positif,"['bela', 'lgbt']"
positif,"['surga', 'buron', 'korupsi', 'indonesia', 'singapore', 'surga', 'negara', 'broker', 'miskin', 'sda']"
negatif,"['bela', 'dukung', 'kaum', 'lgbt', 'pidana', 'laku', 'jahat', 'lgbt', 'bicara', 'pidana']"
positif,"['deababiel', 'cinta', 'inggris', 'bangga', 'lgbt', 'brengos', 'tua', 'sok', 'sok', 'komentar']"
negatif,"['bahaya', 'lgbt']"
negatif,"['pejaten', 'ketua', 'ri', 'mati', 'mic', 'rapat', 'bahas', 'lgbt', 'sial', 'suami']"
negatif,"['cpa', 'bela', 'lgbt', 'lom', 'perangkat', 'hukum', 'jerat', 'lgbt', 'hukum', 'agama']"
positif,"['dirs', 'pelintir', 'cuit', 'manusia', 'judul', 'berita', 'laku', 'lgbt', 'bentur']"
positif,"['aku', 'out', 'lgbt', 'harga', 'mati', 'tentang', 'kasih', 'ruang']"
positif,"['organisasi', 'sehat', 'dunia', 'who', 'ingat', 'sakit', 'cacar', 'monyet', 'monkeypox', 'lonjak']"
positif,"['hipokrit', 'sikap', 'poligami', 'tentang', 'cadar', 'larang', 'hak', 'sifat']"
positif,"['silalahi', 'gilir', 'lgbt', 'lantang', 'suara', 'hormat', 'hak', 'gilir', 'tanah', 'rakyat', 'rampas', 'upah', 'murah']"
negatif,"['pro', 'lgbt', 'buang', 'jurang', 'dalam']"
negatif,"['uu', 'zina', 'laku', 'zina', 'kibar', 'bendera', 'satu', 'tukang', 'zina', 'konyol']"
negatif,"['cpa', 'bela', 'lgbt', 'lom', 'perangkat', 'hukum', 'jerat', 'lgbt', 'hukum']"
positif,"['sakit', 'lgbt', 'loe', 'pake', 'argumen', 'balik', 'orang', 'sehat', 'tular', 'sehat']"
positif,"['lgbt', 'takdir', 'sam', 'brodie', 'lambat', 'usia', 'samuel', 'david', 'alexander', 'brodie', 'sam']"
negatif,"['bima', 'kader', 'muhammadiyah', 'sindir', 'tum', 'pbnu', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus']"
negatif,"['viralin', 'isu', 'buzzerp', 'radikal', 'radikul', 'lgbt', 'periode', 'kriminalisasi', 'ulama', 'adu', 'domba', 'rakyat', 'anis']"
negatif,"['pejaten', 'kaum', 'bong', 'spesies', 'lgbt', 'kumpul', 'kuningan', 'iniada', 'aming', 'tokoh', 'lgbt', 'bicara', 'hak']"
negatif,"['silah', 'rakyat', 'catat', 'partai', 'politis', 'pro', 'kaum', 'sodom', 'lawan', 'norma', 'agama', 'pancasila', 'tenggelam']"
positif,"['obat', 'gugur', 'kandung', 'original', 'ready', 'stok', 'bantu', 'tuntas', 'respon', 'cepat']"
negatif,"['panggung', 'set', 'set', 'lapor', 'ras', 'ruhut', 'tau', 'bela', 'lgbt']"
negatif,"['negara', 'larang', 'lgbt', 'indonesia']"
negatif,"['tagar', 'lgbt', 'biar', 'tumbuh', 'masyarakat', 'mari', 'dukung', 'perintah', 'tetap', 'indo']"
positif,"['dubes', 'inggris', 'kibar', 'bendera', 'lgbt', 'pelita', 'umat', 'lancang']"
negatif,"['qatar', 'tolak', 'keras', 'world', 'cup', 'susup', 'pesan', 'lgbt', 'keren']"
negatif,"['panggung', 'orang', 'lgbt', 'bela']"
positif,"['as', 'tokoh', 'masyarakat', 'hormat', 'lgbt', 'manusia', 'dosa', 'urus', 'allah', 'oposisi', 'cerdas']"
positif,"['mnwmnw', 'konon', 'uas', 'urus', 'konon', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus', 'desember', 'urus']"
negatif,"['ahong', 'lgbt', 'ranah', 'privat', 'nggak', 'diurusin', 'urusin', 'promosi', 'lgbt']"
positif,"['sampe', 'monyet', 'betelor', 'statement', 'disambungin', 'sam']"
negatif,"['tolak', 'lgbt']"
positif,"['malam', 'ada', 'pentas', 'lengger', 'seni', 'tradisional', 'bawa', 'tari', 'perempuan']"
negatif,"['bela', 'lgbt', 'skrg', 'mati', 'mic', 'besok', 'anak', 'paksa', 'ikut', 'didik', 'seks', 'versi', 'paksa', 'tolak']"
negatif,"['jano', 'lgbt', 'singkatan', 'min']"
negatif,"['perilaku', 'simpang', 'seksual', 'lgbt', 'propaganda', 'kian', 'resah', 'ancam', 'generasi', 'muda']"
positif,"['iya', 'bahas', 'lgbt']"
negatif,"['heran', 'mana', 'akal', 'sehat', 'cek', 'fakta', 'cuit', 'gus', 'nadir', 'lgbt']"
positif,"['uu', 'interpretasi', 'tafsir', 'tuju', 'sexual', 'consent', 'kosong', 'atur']"
negatif,"['hatihati', 'azab', 'laku', 'lgbt', 'keri']"
negatif,"['sidang', 'paripurna', 'dpr', 'ri', 'pagi', 'interupsi', 'kait', 'perilaku', 'lgbt', 'harap', 'sanksi', 'lgbt']"
negatif,"['hizo', 'herufi', 'za', 'lgbt', 'hawazijui', 'nini']"
negatif,"['puan', 'mati', 'mic', 'fraksi', 'pks', 'bahas', 'lgbt', 'tifatul', 'sembiring', 'sarkas', 'hemat', 'listrik']"
positif,"['faktor', 'orang', 'lgbt', 'rasa', 'beda', 'klaim', 'gender', 'dysphoria']"
negatif,"['agama', 'mana', 'dukung', 'halal', 'lgbt', 'kecuali', 'orang', 'orang', 'sakit', 'jiwa']"
positif,"['bangga', 'lgbt']"
