,tweet,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
0,rt dukung pidanakan lgbt hidayat nurwahid lgbt bertentangan dengan pancasila,"['rt', 'dukung', 'pidanakan', 'lgbt', 'hidayat', 'nurwahid', 'lgbt', 'bertentangan', 'dengan', 'pancasila']","['dukung', 'pidanakan', 'lgbt', 'hidayat', 'nurwahid', 'lgbt', 'bertentangan', 'pancasila']","['dukung', 'pidana', 'lgbt', 'hidayat', 'nurwahid', 'lgbt', 'tentang', 'pancasila']"
1,rekomendasi kemeja retro sista yang jelas nggak bakal buat kalian terlihat kek firaun tag libur siang ozil aku,"['rekomendasi', 'kemeja', 'retro', 'sista', 'yang', 'jelas', 'nggak', 'bakal', 'buat', 'kalian', 'terlihat', 'kek', 'firaun', 'tag', 'libur', 'siang', 'ozil', 'aku']","['rekomendasi', 'kemeja', 'retro', 'sista', 'nggak', 'kek', 'firaun', 'tag', 'libur', 'siang', 'ozil']","['rekomendasi', 'kemeja', 'retro', 'sista', 'nggak', 'kek', 'firaun', 'tag', 'libur', 'siang', 'ozil']"
2,rt inilah kacaunya portal online yang tak belajar dengan baik menulis berita cuitan nadir dibenturkan dengan pernyataan hrs,"['rt', 'inilah', 'kacaunya', 'portal', 'online', 'yang', 'tak', 'belajar', 'dengan', 'baik', 'menulis', 'berita', 'cuitan', 'nadir', 'dibenturkan', 'dengan', 'pernyataan', 'hrs']","['kacaunya', 'portal', 'online', 'belajar', 'menulis', 'berita', 'cuitan', 'nadir', 'dibenturkan', 'pernyataan', 'hrs']","['kacau', 'portal', 'online', 'ajar', 'tulis', 'berita', 'cuit', 'nadir', 'bentur', 'nyata', 'hrs']"
3,porn lgbt dan cebol jangan berani nongol kalo tidak mau ditampol krn ini khusus oposisi salfol,"['porn', 'lgbt', 'dan', 'cebol', 'jangan', 'berani', 'nongol', 'kalo', 'tidak', 'mau', 'ditampol', 'krn', 'ini', 'khusus', 'oposisi', 'salfol']","['porn', 'lgbt', 'cebol', 'berani', 'nongol', 'ditampol', 'khusus', 'oposisi', 'salfol']","['porn', 'lgbt', 'cebol', 'berani', 'nongol', 'ditampol', 'khusus', 'oposisi', 'salfol']"
4,rt toko nu jualan lgbt,"['rt', 'toko', 'nu', 'jualan', 'lgbt']","['toko', 'nu', 'jualan', 'lgbt']","['toko', 'nu', 'jual', 'lgbt']"
5,rt kaum lgbt itu predator bagi yg normal mrk terus berburu agar sebyk mgkn manusia bisa bareng nyembah iblis amp msk neraka,"['rt', 'kaum', 'lgbt', 'itu', 'predator', 'bagi', 'yg', 'normal', 'mrk', 'terus', 'berburu', 'agar', 'sebyk', 'mgkn', 'manusia', 'bisa', 'bareng', 'nyembah', 'iblis', 'amp', 'msk', 'neraka']","['kaum', 'lgbt', 'predator', 'normal', 'mrk', 'berburu', 'sebyk', 'mgkn', 'manusia', 'bareng', 'nyembah', 'iblis', 'msk', 'neraka']","['kaum', 'lgbt', 'predator', 'normal', 'mrk', 'buru', 'sebyk', 'mgkn', 'manusia', 'bareng', 'nyembah', 'iblis', 'msk', 'neraka']"
6,rt lgbt itu mengundang bencana alam padahal bencana alam itu sendiri datang dikarenakan kita tidak peduli dengan lingkungan kita,"['rt', 'lgbt', 'itu', 'mengundang', 'bencana', 'alam', 'padahal', 'bencana', 'alam', 'itu', 'sendiri', 'datang', 'dikarenakan', 'kita', 'tidak', 'peduli', 'dengan', 'lingkungan', 'kita']","['lgbt', 'mengundang', 'bencana', 'alam', 'bencana', 'alam', 'peduli', 'lingkungan']","['lgbt', 'undang', 'bencana', 'alam', 'bencana', 'alam', 'peduli', 'lingkung']"
7,lah gue ga ada maksanya btw gue juga hidup berdampingan,"['lah', 'gue', 'ga', 'ada', 'maksanya', 'btw', 'gue', 'juga', 'hidup', 'berdampingan']","['gue', 'maksanya', 'btw', 'gue', 'hidup', 'berdampingan']","['gue', 'maksanya', 'btw', 'gue', 'hidup', 'damping']"
8,ente tahu sumut perangi tu lgbt disitu jgn cmn koar katanya kerja kok nyepil gitu dibilang buzzerp,"['ente', 'tahu', 'sumut', 'perangi', 'tu', 'lgbt', 'disitu', 'jgn', 'cmn', 'koar', 'katanya', 'kerja', 'kok', 'nyepil', 'gitu', 'dibilang', 'buzzerp']","['ente', 'sumut', 'perangi', 'tu', 'lgbt', 'disitu', 'cmn', 'koar', 'kerja', 'nyepil', 'gitu', 'dibilang', 'buzzerp']","['ente', 'sumut', 'rang', 'tu', 'lgbt', 'situ', 'cmn', 'koar', 'kerja', 'nyepil', 'gitu', 'bilang', 'buzzerp']"
9,rt mulut sampah bisanya mengkritik kinerja yang berseberangan mau nya nonton kaum menyimpang alias lgbt,"['rt', 'mulut', 'sampah', 'bisanya', 'mengkritik', 'kinerja', 'yang', 'berseberangan', 'mau', 'nya', 'nonton', 'kaum', 'menyimpang', 'alias', 'lgbt']","['mulut', 'sampah', 'bisanya', 'mengkritik', 'kinerja', 'berseberangan', 'nonton', 'kaum', 'menyimpang', 'alias', 'lgbt']","['mulut', 'sampah', 'bisa', 'kritik', 'kerja', 'berangan', 'nonton', 'kaum', 'simpang', 'alias', 'lgbt']"
10,rt off ukhty ri mengapa dimatikan apa sudah cair cuan dari komunitas lgbt sekedar nanya,"['rt', 'off', 'ukhty', 'ri', 'mengapa', 'dimatikan', 'apa', 'sudah', 'cair', 'cuan', 'dari', 'komunitas', 'lgbt', 'sekedar', 'nanya']","['off', 'ukhty', 'ri', 'dimatikan', 'cair', 'cuan', 'komunitas', 'lgbt', 'sekedar', 'nanya']","['off', 'ukhty', 'ri', 'mati', 'cair', 'cuan', 'komunitas', 'lgbt', 'dar', 'nanya']"
